Apply;Apply;Anwenden;Awende
Armor;Armour;Rüstung;Rüstig
Back;Back;Zurück;Zrugg
BackToMenu;Back to menu;Zurück zum Menu;Zrugg zum Menu
CharacterInfo;Character Info;Charakter Info;Charakter Info
ConfigurationSaved;Configuration was saved. A new start of the game is needed so all changes apply.;Einstellungen wurden gespeichert. Das Spiel muss neugestartet werden um alle Änderungen zu übernehmen.;Iistellige sind gspeicheret. Es brucht aber en Neustart vom Game damit alli Änderige würksam werded.
Credits;Credits;Mitwirkende;Erschaffer
CreditsText;"Cendric Font:
   Tizian
too many text on one line yay way to many text this needs to be cropped so hard whatsthisverylongworditdoesn'tfitatallomglookatthisworditssoooooooooooooooooooolong and there are some other words and some more words and to conclude there is a veeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerylongword.";"Cendric Font:
   Tizian
too many text on one line yay way to many text this needs to be cropped so hard whatsthisverylongworditdoesn'tfitatallomglookatthisworditssoooooooooooooooooooolong and there are some other words and some more words and to conclude there is a veeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerylongword.";"Cendric Font:
   Tizian
too many text on one line yay way to many text this needs to be cropped so hard whatsthisverylongworditdoesn'tfitatallomglookatthisworditssoooooooooooooooooooolong and there are some other words and some more words and to conclude there is a veeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerylongword."
English;English;Englisch;Englisch
Exit;Exit;Beenden;Beende
FireDamage;Fire Damage;Feuerschaden;Füürschade
FireResistance;Fire Resistance;Feuerresistenz;Füürresistenz
German;German;Deutsch;Düütsch
Gold;Gold;Gold;Gold
Health;Health;Lebensenergie;Lebe
HealthRegeneration;Health Regeneration;Lebensregeneration;Lebensregeneration
IceDamage;Ice Damage;Eisschaden;Iisschade
IceResistance;Ice Resistance;Eisresistenz;Iisresistenz
Inventory;Inventory;Inventar;Inventar
It_Bread;Bread;Brot;Brot
It_CaveBerry;Cave berries;Höhlenbeeren;Höhlebeeri
It_Cheese;Cheese;Käse;Chääs
It_GlowingShroom;Glowing shroom;Leuchtpilz;Lüchtpilz
It_GoldenGoblet;Golden goblet;Goldener Pokal;Goldige Pokal
It_HealingHerb;Healing herb;Heilpflanze;Heilpflanze
It_Icestaff;Ice staff;Eisstab;Iisstab
It_Letter;Sealed Letter;Versiegelter Brief;Versiglete Brief
It_OneCoin;Golden coin;Goldmünze;Goldmünze
It_RingOfLesserHealth;Small ruby ring;Kleiner Rubinring;Chliine Rubinring
It_ThreeCoins;A few coins;Ein paar Münzen;Es paar Münze
